morph,TWEW,TRW,SL,TAM,IW,REIW,RESL
Is,3.433,2.089,2.708,85.810,0.259,13.276,1.268
Is,3.725,2.170,3.258,85.994,0.443,8.417,1.143
Is,4.507,2.169,3.833,87.890,0.606,7.434,1.176
Is,3.182,1.460,4.366,88.290,0.413,7.699,0.729
Is,6.251,2.692,4.345,82.044,1.791,3.491,1.439
Is,4.747,2.144,3.088,76.499,0.474,10.015,1.538
Is,5.695,2.535,3.638,70.178,1.070,5.322,1.566
Is,5.740,2.415,3.660,88.860,1.038,5.528,1.568
Is,5.422,2.401,3.408,84.971,0.844,6.423,1.591
Is,6.276,2.974,3.361,84.962,1.199,5.236,1.867
Is,6.730,3.182,2.684,88.394,0.963,6.988,2.507
Is,6.704,2.925,3.000,74.923,1.246,5.379,2.234
Is,4.809,2.070,4.440,89.598,0.742,6.479,1.083
Is,6.248,2.485,2.841,84.284,1.122,5.568,2.199
Is,5.667,2.446,3.925,66.367,1.019,5.560,1.444
Is,4.890,2.196,3.153,84.052,0.544,8.985,1.551
Is,5.679,3.013,4.517,88.102,0.640,8.873,1.257
Is,7.086,2.969,4.225,76.504,0.614,11.544,1.677
Is,6.449,2.437,3.153,77.868,0.640,10.075,2.045
Is,8.709,3.389,6.156,76.040,0.841,10.352,1.415
Is,8.376,3.341,5.699,79.913,0.868,9.650,1.470
Is,4.104,2.165,4.433,84.623,0.912,4.500,0.926
Ip,10.607,5.084,9.648,65.149,1.090,9.734,1.099
Ip,9.842,4.112,5.370,73.788,0.997,9.875,1.833
Ip,9.666,4.536,3.329,74.733,0.937,10.311,2.903
Ip,7.392,3.530,3.912,53.558,0.905,8.172,1.890
Ip,8.919,4.431,2.533,63.082,0.828,10.769,3.521
Ip,6.433,2.701,2.639,75.758,0.573,11.223,2.438
Ip,7.091,3.530,4.495,76.206,0.619,11.462,1.578
Ip,7.289,3.350,4.031,66.705,0.500,14.572,1.808
Wu,32.206,3.673,10.258,75.858,6.734,4.782,3.140
Wu,32.405,4.825,13.020,67.830,3.922,8.262,2.489
Wu,28.708,4.911,7.228,71.333,4.507,6.369,3.972
Wu,36.056,3.716,5.888,79.955,4.599,7.840,6.124
Wu,31.771,4.880,11.555,67.054,5.979,5.314,2.750
Wu,26.461,5.006,8.226,61.342,5.118,5.170,3.217
Wu,18.089,2.256,4.137,66.522,3.044,5.942,4.373
Wu,34.767,3.959,20.812,56.315,5.540,6.276,1.671